ts,providerid,click,revenue
2017072316,60,110587,28272.82052948995
2017072510,10,3448,4129.529996706258
2017073003,8,58,58.35000106855062
2017073113,28,2320,0
2017080519,800000000,4101,0
2017080719,16,2,0.8920939999999999
2017080801,8,56,60.28999970400094
2017080911,28,1785,
2017081404,26,2,0.173284
2017070320,8,69,132.68999895769082
2017071618,6,19,45.36000102861576
2017071714,12,402,63.18130399999991
2017072103,800000000,3296,0
2017072207,10,2096,2893.720009161422
2017072620,31,1097,0
2017072908,800000000,3246,0
2017073112,60,81289,19715.77607388244
2017080121,12,305,49.578996999999966
2017080608,28,1119,0
2017080910,60,48451,10964.676875869345
2017081315,800000000,3927,0
2017081403,58,10,1.8239999999999998
2017081419,10,8766,11565.719940580608
2017081515,16,4,17.414796
2017070903,31,2042,0
2017071810,19,25,0.3000000000000001
2017071921,8,111,133.6100001657989
2017072317,31,1232,0
2017072414,6,18,29.390000474972005
2017072510,12,34,6.502768999999999
2017073003,10,3727,4677.2899929671
2017080607,60,37344,8747.842462299157
2017080801,10,6505,7016.430070606851
2017081404,28,986,0
2017070320,10,6058,7982.560053608637
2017070807,26,5,0.264387
2017071507,19,6,0.08
2017071618,8,55,58.10000049099437
2017072207,12,140,21.02122200000001
2017073113,31,2324,0
2017080719,19,4,0.31000000000000005
2017080911,31,1882,
2017081403,60,98460,21118.13485557644
2017081419,12,126,26.426803999999983
2017070718,800000000,2567,0
2017070918,16,2,3.468845
2017071603,26,18,0.6822270000000001
2017071810,21,2,0.19000000203257478
2017071921,10,7242,8528.990024130198
2017072303,19,26,0.29000000000000004
2017072414,8,88,128.62000243677554
2017073003,12,201,32.24761600000001
2017080608,31,722,0
2017080705,6,16,29.159998970371284
2017080801,12,339,41.043459000000006
2017080815,26,2,0.073153
2017081515,19,10,0.36
2017070320,12,216,39.591606999999975
2017070807,28,908,0
2017071514,800000000,3051,0
2017071618,10,5216,6982.809996783371
2017071714,16,2,1.655386
2017072523,60,120782,29957.19059983951
2017080121,16,4,4.59785
2017080719,21,16,25.810000021739786
2017081404,31,2601,0
2017081501,6,67,136.8100010260242
2017070806,60,43849,10823.687548897604
2017071020,6,4,0.759999972819884
2017071603,28,814,0
2017071921,12,70,19.91530300000001
2017072303,21,2,3.109999976965833
2017072310,800000000,3189,0
2017072414,10,8537,11577.660024904213
2017072510,16,3,4.389566
2017073017,28,1004,0
2017080705,8,18,34.50000032691116
2017080815,28,1789,0
2017081308,26,1,0.077581
2017081515,21,4,12.620000349065828
2017081522,800000000,2657,0
2017070113,19,10,0.352184
2017070918,19,11,0.37
2017071602,60,97212,20818.43108834754
2017071618,12,152,31.928480999999994
2017072007,800000000,3397,0
2017072207,16,1,1.75
2017072621,6,16,24.370000935727585
2017073016,60,106670,27739.6512475486
2017080814,60,110951,30697.839195157605
2017081219,800000000,3038,0
2017081501,8,28,49.82000113336489
2017070807,31,696,0
2017070904,6,26,44.07000187700771
2017071020,8,91,146.4600024666248
2017071714,19,35,0.5999700000000002
2017072318,6,21,25.929999802073137
2017072414,12,137,18.704015999999996
2017080121,19,2,0.07
2017080601,800000000,4812,0
2017080705,10,2449,4096.890028457839
2017081308,28,867,0
2017070113,21,7,16.44000025786266
2017070120,800000000,2504,0
2017070320,16,5,5.86
2017070918,21,3,13.669999883731041
2017071603,31,1368,0
2017071700,6,38,36.95000113989407
2017071810,26,13,0.568998
2017072510,19,29,0.5261080000000001
2017072621,8,60,97.55000300497669
2017073017,31,1366,0
2017073114,6,22,19.019999836413614
2017080815,31,2082,0
2017080912,6,17,82.54000124706101
2017081307,60,35229,8296.981766941157
2017081501,10,5176,6306.450043369101
2017070904,8,27,34.73000108145405
